         92929 function calls (91591 primitive calls) in 101.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  101.472  101.472 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/main.py:20(main)
        1    0.000    0.000  101.224  101.224 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1503(mainloop)
        1  100.217  100.217  101.224  101.224 {method 'mainloop' of '_tkinter.tkapp' objects}
     3464    1.014    0.000    1.014    0.000 {method 'call' of '_tkinter.tkapp' objects}
      752    0.002    0.000    1.007    0.001 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1963(__call__)
        1    0.000    0.000    0.962    0.962 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:664(on_closing)
        1    0.000    0.000    0.926    0.926 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/messagebox.py:106(askokcancel)
        1    0.000    0.000    0.926    0.926 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/messagebox.py:71(_show)
        1    0.000    0.000    0.926    0.926 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/commondialog.py:32(show)
        1    0.000    0.000    0.165    0.165 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2326(__init__)
        1    0.165    0.165    0.165    0.165 {built-in method _tkinter.create}
        1    0.000    0.000    0.083    0.083 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:22(__init__)
        1    0.000    0.000    0.082    0.082 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:64(create_class_tabs)
        3    0.000    0.000    0.079    0.026 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:81(create_class_tab)
        3    0.000    0.000    0.075    0.025 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:337(update_student_lists)
       56    0.001    0.000    0.074    0.001 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:369(create_student_widget)
       56    0.000    0.000    0.047    0.001 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:449(get_student_image)
    556/2    0.001    0.000    0.037    0.019 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2664(destroy)
        1    0.000    0.000    0.036    0.036 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2386(destroy)
      556    0.001    0.000    0.027    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2647(__init__)
      492    0.000    0.000    0.018    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/ttk.py:506(__init__)
       56    0.000    0.000    0.017    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/Image.py:3409(open)
       56    0.000    0.000    0.017    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/Image.py:2250(resize)
       56    0.000    0.000    0.017    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/Image.py:1265(copy)
       56    0.000    0.000    0.017    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageFile.py:186(load)
       56    0.015    0.000    0.015    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.014    0.014 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:126(<lambda>)
        1    0.000    0.000    0.014    0.014 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:529(add_student_dialog)
      429    0.003    0.000    0.013    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1623(_substitute)
      632    0.000    0.000    0.011    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1715(configure)
      632    0.001    0.000    0.011    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1702(_configure)
     20/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     52/6    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     16/6    0.000    0.000    0.011    0.002 {built-in method builtins.__import__}
     17/6    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
     17/6    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      188    0.000    0.000    0.011    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/ttk.py:570(__init__)
        1    0.000    0.000    0.010    0.010 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1375(update_idletasks)
     17/6    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
       56    0.000    0.000    0.010    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/Image.py:344(preinit)
     15/5    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap_external>:993(exec_module)
      172    0.000    0.000    0.008    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
     16/6    0.000    0.000    0.007    0.001 {built-in method builtins.exec}
       56    0.000    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:3230(__init__)
      138    0.000    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/ttk.py:719(__init__)
      377    0.000    0.000    0.006    0.000 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/widgets.py:325(<lambda>)
     1918    0.003    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1544(_options)
       56    0.000    0.000    0.006    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/Image.py:3482(_open_core)
       56    0.000    0.000    0.005    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageFile.py:113(__init__)
      172    0.000    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1686(handle)
       59    0.000    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:2208(info)
       15    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
       59    0.000    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1529(info)
       56    0.000    0.000    0.005    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:754(_open)
      172    0.000    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1746(callHandlers)
      174    0.000    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1011(handle)
     4719    0.001    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1629(getint_event)
     5607    0.005    0.000    0.005    0.000 {method 'getint' of '_tkinter.tkapp' objects}
      112    0.000    0.000    0.004    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:195(call)
      172    0.000    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1266(emit)
      172    0.000    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
      113    0.000    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1517(debug)
       56    0.000    0.000    0.004    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageTk.py:92(__init__)
       15    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.003    0.003 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:1(<module>)
      519    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.003    0.002 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:860(callit)
        2    0.000    0.000    0.003    0.002 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:743(append)
        2    0.000    0.000    0.003    0.001 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:3922(see)
     2904    0.001    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:106(_cnfmerge)
      172    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1137(flush)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        3    0.000    0.000    0.002    0.001 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/widgets.py:193(create_class_tab_widgets_with_photos)
       56    0.000    0.000    0.002    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageTk.py:170(paste)
        1    0.000    0.000    0.002    0.002 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/gui.py:758(create_logs_tab)
        1    0.000    0.000    0.002    0.002 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:3635(__init__)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
        2    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
      308    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2565(grid_configure)
        1    0.000    0.000    0.002    0.002 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:1(<module>)
      172    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      172    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1645(makeRecord)
      429    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:1570(nametowidget)
      172    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:298(__init__)
       56    0.000    0.000    0.002    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageTk.py:53(_pyimagingtkcall)
       57    0.002    0.000    0.002    0.000 {built-in method _io.open}
        1    0.000    0.000    0.002    0.002 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImagePalette.py:1(<module>)
      174    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:988(format)
      377    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2814(bbox)
      174    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:690(format)
       30    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      318    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:3626(set)
    12816    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       56    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:4157(__init__)
      230    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2467(pack_configure)
        6    0.000    0.000    0.001    0.000 /Users/colesnipes/BluetoothAttendanceApplication/attendance_app/widgets.py:311(create_scrollable_frame)
       56    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:4096(__init__)
        1    0.000    0.000    0.001    0.001 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageMath.py:1(<module>)
      111    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       56    0.000    0.000    0.001    0.000 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/ImageTk.py:133(__del__)
      136    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/ttk.py:702(__init__)
       15    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      556    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/__init__.py:2617(_setup)
        1    0.000    0.000    0.001    0.001 /Users/colesnipes/BluetoothAttendanceApplication/.venv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1(<module>)
      172    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1611(findCaller)
